area,category,name,phone
"Adamstown, Dublin",Green Guide - Solar Energy - Heating,Solas Renewable Energy Systems,(1890)252800
"Adamstown, Dublin",Wedding Cars and Carriages,Adamstown Wedding Cars,(086)2575794
"Ailesbury, Dublin",Electric Maintenance - Industrial,AD Electrical,(01)4627944
"Ailesbury, Dublin",Statistical Services,S.N. Markos Consultancy,(01)4599731
"Ailesbury, Dublin",Windscreen Replacement,Cab Screens,(01)4518620
"Ailesbury, Dublin",Optical Goods,Jackson Technology,(01)4518508
"Ailesbury, Dublin",Mobile Phones & Communications,Murphy Keith Sales & Services,(087)6779548
"Ailesbury, Dublin",Draughting Service,AA Architecture & Draughting,(01)4148358
"Ailesbury, Dublin",Dog Trainers,Tag n Rye Dog Services,(01)4513324
"Ailesbury, Dublin",Curtain Fixtures & Fittings,Kenny John Curtain Fixtures & Fittings,(01)4525085
"Ardilea, Dublin",Market Research & Analysis,Barker Clara,(01)2884787
"Airport Business Park, Dublin",Water Consultants,Celtic Anglian Water,(01)8446531
"Airport Business Park, Dublin",Freight Forwarding & Warehousing,Panalpina World Transport Ireland Ltd,(01)8120100
"Airport Business Park, Dublin",Freight Agents,International Airline Handling,(01)8444687
"Arro, Dublin",Do-It-Yourself Supplies,Arro Home & Garden,(01)8401335
"Avenue West, Dublin",Artists,Keogh MÃ¡ire Illustration,(01)2803783
"Avenue West, Dublin",Advertising Agencies,Company of Words,(01)2147644
"Avenue East, Dublin",Distillers,The Or Organization ltd,(01)2846464
"Baily, Dublin",Architects,"Ryan, Martin",(01)8322253
"Baily, Dublin",Caterers,A Slice of Life Ltd,(086)2521946
"Balally, Dublin",Yoga & Pilates,Yoga Dublin Studios,(01)2980300
"Balally, Dublin",Hardware,The Decor Studio,(01)2939887
"Balally, Dublin",Convents,Blessed Sacrament Sisters,(01)2955251
"Balally, Dublin",Supermarkets,Tracy's Supervalue,(01)2958330
"Ashbourne, Dublin",Creches & Nursery Schools, Bright Horizons Child Care & Education Centres ,(1890)908148
"Ashbourne, Dublin",Booksellers,Easons,(01)8359117
